24;1641086186.0;18795.0;2916.25;256;-1.0;-1.0;256;3000.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
29;1641090642.0;1973.0;95.0;256;-1.0;-1.0;256;27000.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
30;1641090693.0;2275.0;71.25;256;-1.0;-1.0;256;27000.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
36;1641092719.0;40660.0;4463.75;256;-1.0;-1.0;256;4500.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
40;1641094511.0;4033.0;15423.75;640;-1.0;-1.0;640;15750.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
41;1641097744.0;2487.0;8757.5;256;-1.0;-1.0;256;13425.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
47;1641101810.0;19581.0;132.5;128;-1.0;-1.0;128;13500.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
50;1641102102.0;18980.0;135.0;128;-1.0;-1.0;128;13500.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
52;1641104812.0;34821.0;2936.25;256;-1.0;-1.0;256;3000.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
53;1641104815.0;399767.0;4441.25;512;-1.0;-1.0;512;4500.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
72;1641121402.0;5047.0;27000.0;256;-1.0;-1.0;256;27000.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
73;1641122648.0;2368.0;13500.0;128;-1.0;-1.0;128;13500.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
74;1641123376.0;1685.0;5603.75;256;-1.0;-1.0;256;27000.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
75;1641123453.0;1643.0;18048.75;256;-1.0;-1.0;256;27000.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
76;1641123514.0;5118.0;9465.0;256;-1.0;-1.0;256;27000.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
78;1641124438.0;4668.0;133.75;128;-1.0;-1.0;128;13500.0;-1.0;0;-1;-1;-1;-1;-1;-1;0
